IMDB ID,BoxOffice,Country,Director,Genre,Plot,Rated,Released,Runtime,Title,Year,imdbRating,imdbVotes,budget,popularity,vote_average,vote_count
tt0097044,"$16,278,590",United States,Emile Ardolino,"['Comedy', 'Fantasy', 'Romance']","A reincarnated man unknowingly falls in love with his own daughter from his previous life. Once he realizes this, he tries to end their relationship before angels erase his memory.",PG,10 Mar 1989,108 min,Chances Are,1989,6.5,"14,133",16000000,0.955,6.6,267
tt0097987,"$16,093,651",United States,Thomas J. Wright,"['Action', 'Sport']",A TV-network boss pits a wrestler called Zeus against a wrestler called Rip in a wrestling match.,PG-13,02 Jun 1989,93 min,No Holds Barred,1989,4.4,"7,204",8000000,0.4285,4.7,99
tt0097967,"$15,942,628",United States,John Irvin,"['Action', 'Crime', 'Drama']","Truman, a Chicago cop, sets out to find the killer of his brother. Meanwhile, another of his brothers, Briar (a hillbilly) decides to find the killer himself.",R,20 Oct 1989,108 min,Next of Kin,1989,5.9,"12,934",12000000,1.039,5.9,235
tt0098309,"$15,351,421",United States,Susan Seidelman,['Comedy'],A surprisingly resourceful housewife vows revenge on her husband when he begins an affair with a wealthy romance novelist.,PG-13,08 Dec 1989,99 min,She-Devil,1989,5.7,"19,653",20000000,1.8899,5.9,395
tt0097659,"$14,697,005",United States,"Mark DiSalle, David Worth","['Action', 'Sport', 'Thriller']",Kurt Sloane must learn the ancient kick boxing art of Muay Thai in order to avenge his brother.,R,08 Sep 1989,97 min,Kickboxer,1989,6.4,"62,835",1500000,3.7854,6.828,1445
tt0098663,"$14,278,900",United States,Todd Holland,"['Adventure', 'Comedy', 'Drama']","A boy and his brother run away from home and hitch cross-country, with help from a girl they meet, to compete in the ultimate video-game championship.",PG,15 Dec 1989,100 min,The Wizard,1989,6.1,"17,006",6000000,1.1196,6.0,314
tt0097457,"$13,741,060",United States,Jim McBride,"['Biography', 'Drama', 'Music']",The life and career of wildly controversial rock 'n' roll star Jerry Lee Lewis.,PG-13,30 Jun 1989,108 min,Great Balls of Fire!,1989,6.3,"19,171",17000000,1.0316,6.3,316
tt0098097,"$12,143,484",United States,Buddy Van Horn,"['Action', 'Comedy', 'Crime']","Skip tracer Tommy looks for bail-jumper Lou Ann. Her crime is marrying Roy, who left counterfeit money in their mobile home and got her arrested. She leaves Roy in his pink Cadillac full of money. His psycho friends want their mon...",PG-13,26 May 1989,122 min,Pink Cadillac,1989,5.4,"12,643",19000000,1.1381,5.5,234
tt0097474,"$11,642,254",United States,Dominique Othenin-Girard,"['Horror', 'Thriller']","One year after the events of Halloween 4: The Return of Michael Myers (1988), the Shape returns to Haddonfield once again in an attempt to kill his now-mute niece.",R,13 Oct 1989,96 min,Halloween 5: The Revenge of Michael Myers,1989,4.9,"48,766",3000000,2.2914,5.3,1228
tt0097458,"$11,604,598",United States,Thom Eberhardt,['Drama'],"A fisherman's son goes through medical school with a bad attitude, especially in cadaver class.",PG-13,20 Oct 1989,109 min,Gross Anatomy,1989,6.2,"4,159",8500000,0.6163,5.7,54
