IMDB ID,BoxOffice,Country,Director,Genre,Plot,Rated,Released,Runtime,Title,Year,imdbRating,imdbVotes,budget,popularity,vote_average,vote_count
tt0088680,"$10,609,321",United States,Martin Scorsese,"['Comedy', 'Crime', 'Drama']","Ordinary word processor Paul Hackett experiences the worst night of his life after he agrees to visit Marcy, a Soho resident that he met that evening at a coffee shop.",R,11 Oct 1985,97 min,After Hours,1985,7.6,"86,075",4500000,2.1166,7.5,1528
tt0089504,"$10,179,000",United States,Albert Brooks,['Comedy'],"A husband and wife in their 30s decide to quit their jobs, live as free spirits and cruise America in a Winnebago.",R,08 Feb 1985,91 min,Lost in America,1985,7.0,"10,612",4000000,0.3588,6.877,150
tt0089730,"$10,000,000",United States,Howard Storm,"['Comedy', 'Horror']","A vampire Countess needs to drink the blood of a virgin in order to keep her eternal beauty. It seems that all is hopeless, until she bumps into Mark Kendall.",PG-13,15 Nov 1985,94 min,Once Bitten,1985,5.6,"17,577",3200000,1.2765,5.8,320
tt0089114,"$9,873,044",United States,Joe Dante,"['Adventure', 'Comedy', 'Family']","A boy obsessed with '50s sci-fi movies about aliens has a recurring dream about a blueprint of some kind, which he draws for his inventor friend. With the help of a third kid, they follow it and build themselves a spaceship. Now w...",PG,12 Jul 1985,109 min,Explorers,1985,6.4,"24,210",25000000,1.3199,6.2,460
tt0089543,"$8,645,411",United States,Stan Dragoti,"['Comedy', 'Thriller']",A man picked randomly out of a crowd is made the target of CIA survelliance and pursuit.,PG,19 Jul 1985,92 min,The Man with One Red Shoe,1985,5.7,"17,171",16000000,1.2256,5.705,273
tt0090073,"$8,489,518",United States,Burt Reynolds,"['Action', 'Crime', 'Drama']","Released from prison, Stick meets up with a friend and joins him on a job delivering a bag. His friend gets killed in the setup. Stick gets away and is ready to forget all and see his daughter, but they won't forget.",R,26 Apr 1985,109 min,Stick,1985,5.6,"2,357",22000000,0.3666,5.3,46
tt0088993,"$5,000,000",United States,George A. Romero,"['Horror', 'Thriller']","As the world is overrun by zombies, a group of scientists and military personnel sheltering in an underground bunker in Florida must decide on how they should deal with the undead horde.",Not Rated,19 Jul 1985,101 min,Day of the Dead,1985,7.1,"76,439",3500000,1.2915,7.1,1266
tt0089885,"$2,023,414",United States,Stuart Gordon,"['Comedy', 'Horror', 'Sci-Fi']","After an odd new medical student arrives on campus, a dedicated local and his girlfriend become involved in bizarre experiments centering around the re-animation of dead tissue.",Unrated,18 Oct 1985,84 min,Re-Animator,1985,7.2,"73,431",900000,1.3018,7.1,1519
tt0089126,"$91,666",United States,Kevin Reynolds,"['Comedy', 'Drama']","Five college buddies from the University of Texas circa 1971 embark on a final road trip odyssey across the Mexican border before facing up to uncertain futures, in Vietnam and otherwise.",PG,25 Jan 1985,91 min,Fandango,1985,6.7,"9,018",7000000,0.8183,6.7,178
tt0089715,"$29,815",United States,Robert Altman,"['Comedy', 'Romance']","O.C. and Stiggs aren't your average unhappy teenagers. They not only despise their suburban surroundings, they plot against them. They seek revenge against the middle-class Schwab family, who embody all they detest: the middle class.",R,N/A,109 min,O.C. and Stiggs,1985,5.3,"1,453",7000000,0.3153,4.7,16
